ID	ISBN	Price	Title	Teaser	Auth_1	Auth_2	Auth_3	Review	Reviewer	Issue_date	Issue	Record_type	Sub_headline	Headline	Publisher	Pub_date	Categories	SubCategories	Metadata	Image	Field21
2011	25333537		"A Hundred Days to Richmond: Ohio's ""Hundred Days"" Men in the Civil War"		Leeke, Jim										Indiana University Press	0000-00-00		Regiment		"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/JimLeekeAHundredDaystoRichmond.jpg"">"	
2099	195206355		American National Biography		Garraty, John Arthur	American Council Of Learned Societies	Carnes, Mark C.								Oxford University Press	36161		RefGeneral			
2135	82032209		The Civil War as a Crisis in Gender: Augusta, Georgia, 1860-1890		Whites, LeeAnn										University of Georgia Press	0000-00-00		SocGeneral, Women		"<img hspace=6 align=LEFT width=161 height=262 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/LeeAnnWhitesTheCivilWarasaCrisisinGender.jpg"">"	
2154	803292570		Inside the White House in War Times: Memoirs and Reports of Lincoln's Secretary		Stoddard, William O.	Burlingame, Michael									University of Nebraska Press	36557		SocGeneral			
2155	1558534148		Atlanta and the War		Garrison, Webb										Rutledge Hill Press	35278		SocGeneral			
2156	807107751		South and Politics of Slavery		Cooper Jr., William J.										Louisiana State University Press	33117		SocGeneral, Slavery			
2157	807123153		Seasons of War: The Ordeal of a Confederate Community, 1861-1865		Sutherland, Daniel E.										Louisiana State University Press	36039		SocGeneral			
2165	819562041		The World the Slaveholders Made: Two Essays in Interpretation		Genovese, Eugene D.										Wesleyan University Press	32905		SocGeneral, Slavery			
2166	394716523		Roll, Jordan, Roll: The World the Slaves Made		Genovese, Eugene D.										Vintage Books	32874		SocGeneral, Slavery			
2167	820307076		Journal of a Residence on a Georgian Plantation in 1838-1839		Thrasher, Brown	Scott, John Anthony									University of Georgia Press	32994		SocGeneral			
2168	394722531		The Plantation Mistress: Woman's World in the Old South		Clinton, Catherine										Pantheon Books	32905		SocGeneral, Women			
2261	1578600588		Southern Historical Society Papers												Guild Press	0000-00-00					
2262	1578600286		Atlas of the Official Records of the Civil War												Guild Press	0000-00-00					
2264	195008585		The Promise of the New South: Life After Reconstruction		Ayers, Edward L.										Oxford University Press	0000-00-00					
2265	195058143		The Road to Disunion: Secessionists at Bay, 1776-1854		Freehling, William W.										Oxford University Press	33117					
2266	080326111X		Hardtack and Coffee, Or, the Unwritten Story of Army Life: The Unwritten Story of Army Life		Billings, John D.	Reed, Charles E.	Shea, William L.								University of Nebraska Press	34182					
2267	1572491310		The 19th Indiana Infantry at Gettysburg:		Venner, William Thomas	White Mane Publishing									White Mane Publishing Company	36100					
2268	1557285047		Peculiar Honor: A History of the 28th Texas Cavalry, 1862-1865		Johansson, M. Jane										University of Arkansas Press	35855					
2271	1577470354		Gettysburg's Forgotten Cavalry Actions		Wittenberg, Eric J.										Thomas Publications	0000-00-00					
2272	803277814		Riding with Custer: Personal Recollections of a Cavalryman		Kidd, J. H.	Hutton, Paul Andrew	Kidd, James Harvey								Bison	35704					
2273	803295561		Custer Victorious: The Civil War Battles of General George Armstrong Custer		Urwin, Gregory J. W.	Frost, Lawrence A.									University of Nebraska Press	32994					
2274	093828987X		Custer and His Wolverines: The Michigan Cavalry Brigade 1861-1865		Longacre, Edward G.										Combined Books	35704					
1131	807826103	$29.95	Long Gray Lines: The Southern Military School Tradition, 1839-1915		Andrew Jr., Rod			Please see print version for full text.		Summer 2001	2001-06-01	Annotation			University of North Carolina Press					"<img src=""/civilwarbookreview/images/jackets/LongGrayLines0807826103.jpg"" width=""158"" height=""239"" align=""left"">"	
1325	087338721x	$9.95	The Fourth Battle of Winchester:  Toward a New Civil War Paradigm		McMurry, Richard M.			Please see print version for full text.		Spring 2002	2002-03-01	Annotation			Kent State University Press					"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/RichardMcMurryTheFourthBattleofWinchester.jpg"">"	
1211			Special Feature: The Civil War in popular culture		Kreiser Jr., Lawrence A.			Please see print version for full text.		Fall 2001	2001-09-01	Classics								"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/kreisercolumn.jpg"">"	
1011	151006415	$27.00	Allegiance: Fort Sumter, Charleston, and the Beginning of the Civil War		Detzer, David			Please see print version for full text.	Davis, Stephen	Summer 2001	2001-06-01	Review			Harcourt					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/DetzerAllegianceFtSumter.jpg"">"	
1012	670891762	$24.95	Nowhere Else on Earth		Humphreys, Josephine			Please see print version for full text.	Sullivan, Walter	Summer 2001	2001-06-01	Review			Viking Books					"<img hspace=6 align=LEFT width=161 height=251 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/HumphreysNowhereElseonEarth.jpg"">"	
1013	60187239	$32.50	April 1865: The Month That Saved America		Winik, Jay			Please see print version for full text.	Reedy, Jory V.	Summer 2001	2001-06-01	Review			HarperCollins Publishers					"<img hspace=6 align=LEFT width=161 height=249 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/WinikApril1865.jpg"">"	
1015	077347658X	$119.95	Southern Evangelicals and the Coming of the Civil War		Crowther, Edward R.			Please see print version for full text.	Klugewicz, Stephen M.	Summer 2001	2001-06-01	Review			Edwin Mellen Pr					"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/EdwardCrowtherSouthernEvangelicalsandComingoftheCivilWar.jpg"">"	
1016	684849267	$35.00	Grant		Smith, Jean Edward			Please see print version for full text.	Hardy Jr, James D.	Summer 2001	2001-06-01	Review			Simon & Schuster Books					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/JeanEdwardSmithGrant.jpg"">"	
1017	807825964	$55.00	The Shaping of Southern Culture: Honor, Grace, and War, 1760s-1880s		Wyatt-Brown, Bertram			Please see print version for full text.	Rarey, Matthew A.	Summer 2001	2001-06-01	Review			University of North Carolina Press					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/WyattBrownTheShapingofSouthernCulture.jpg"">"	
1018	253337860	$35.00	California Sabers: The 2nd Massachusetts Cavalry in the Civil War		McLean, James			Please see print version for full text.	Woodbury, David	Summer 2001	2001-06-01	Review			Indiana University Press					"<img hspace=6 align=LEFT width=161 height=249 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/JamesMcLeanCaliforniaSabers.jpg"">"	
