"ID"	"ISBN"	"Price"	"Title"	"Teaser"	"Auth_1"	"Auth_2"	"Auth_3"	"Review"	"Reviewer"	"Issue_date"	"Issue"	"Record_type"	"Sub_headline"	"Headline"	"Publisher"	"Pub_date"	"Categories"	"SubCategories"	"Metadata"	"Image"	"Image2"	"Image3"	"Image4"	"Image5"	"Audio1"	"Link1"	"Link2"
6434	9781606352861	"$39.95"	"Pure Heart:The Faith of a Father and Son in the War for a More Perfect Union"		"Quigley Jr., William F."					"Spring 2017"	"2017-5-1"	"Annotation"			"Kent State University Press"		"Religion"			"<img hspace=6 align=LEFT width=161 height=249 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/QuigleyPureHeart.jpg"">"						"<a href=""http://www.kentstateuniversitypress.com/2015/pure-heart/"">Click here for more information</a>"	
6381	9781606352953	"$29.95"	"The Lincoln Assassination: Revisiting the Crime of the Nineteenth Century"		"Williams, Frank J."	"Burkhimer, Michael"				"Winter 2017"	"2017-2-1"	"Annotation"			"Kent State University Press"		"Politics"			"<img hspace=6 align=LEFT width=161 height=235 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/WilliamsTheLincolnAssassinationRiddle.jpg"">"						"<a href=""http://www.kentstateuniversitypress.com/2015/the-lincoln-assassination-riddle/"">Click here for more information</a>"	
6429	"9781476 665733"	"$35.00"	"McClellan and the Union High Command, 1861-1863"		"Green, Jeffrey W."					"Spring 2017"	"2017-5-1"	"Annotation"			"McFarland"		"Military;Politics"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/GreenMcClellan.jpg"">"						"<a href=""http://www.mcfarlandbooks.com/2017/03/newly-published-mcclellan-and-the-union-high-command-1861-1863/"">Click here for more information</a>"	
6327	9781476663692	"$35.00"	"Unconditional Unionist: The Hazardous Life of Lucian Anderson, Kentucky Congressman"		"Ullrich, Berry C."	"Ullrich, Dieter C."				"Fall 2016"	"2016-11-1"	"Annotation"			"McFarland"		"Biographies;Politics"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/CraigUnconditionalUnionist.jpg"">"						"<a href=""http://www.mcfarlandbooks.com/book-2.php?id=978-1-4766-6369-2"">Click here for more information</a>"	
6329	9781476664118	"$49.95"	"The Confederate Soldiers of Rockbridge County, Virginia: A Roster"		"Driver, Robert Jr."					"Fall 2016"	"2016-11-1"	"Annotation"			"McFarland"		"Regiment"			"<img hspace=6 align=LEFT width=161 height=230 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/DriverRockbridgeCountyVirginia.jpg"">"						"<a href=""http://www.mcfarlandbooks.com/book-2.php?id=978-1-4766-6411-8"">Click here for more information</a>"	
6432	"9781476 664804"	"$35.00"	"Fighting Irish in the American Civil War and the Invasion of Mexico"		"Mitchell, Arthur H."					"Spring 2017"	"2017-5-1"	"Annotation"			"McFarland"		"Battles;Politics;Social_History"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/MitchellFightingIrish.jpg"">"						"<a href=""http://www.mcfarlandbooks.com/book-2.php?id=978-1-4766-6480-4"">Click here for more information</a>"	
6374	9781476664897	"$35.00"	" A Confederate in Congress: The Civil War Treason Trial of Benjamin Gwinn Harris"		"Kastenberg, Joshua E."					"Winter 2017"	"2017-2-1"	"Annotation"			"McFarland"		"Biographies;Politics"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/KastenbergAConfederateinCongress.jpg"">"						"<a href=""http://www.mcfarlandbooks.com/book-2.php?id=978-1-4766-6489-7"">Click here for more information</a>"	
6375	9781476666297	"$35.00"	"The Union Sixth Corps in the Shenandoah Valley, June-October 1864"		"Lepa, Jack H."					"Winter 2017"	"2017-2-1"	"Annotation"			"McFarland"		"Battles;Military;Regiment"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/LepaTheUnionSixthCorps.jpg"">"						"<a href=""http://www.mcfarlandbooks.com/book-2.php?id=978-1-4766-6629-7"">Click here for more information</a>"	
6424	"9781476 666631"	"$35.00"	"U.S. Colored Troops Defeat Confederate Cavalry"		"Besch, Edwin W."					"Spring 2017"	"2017-5-1"	"Annotation"			"McFarland"		"Battles;Cavalry;Military"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/BeschUSColoredTroops.jpg"">"						"<a href=""http://www.mcfarlandbooks.com/book-2.php?id=978-1-4766-6663-1"">Click here for more information</a>"	
6371	9781476666693	"$39.95"	"Failure to Pursue: How the Escape of Defeated Forces Prolonged the Civil War"		"Frey, David"					"Winter 2017"	"2017-2-1"	"Annotation"			"McFarland"		"Battles;Military"			"<img hspace=6 align=LEFT width=161 height=230 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/FreyFailuretoPursue.jpg"">"						"<a href=""http://www.mcfarlandbooks.com/book-2.php?id=978-1-4766-6669-3"">Click here for more information</a>"	
